"","tool","run","parameter","moment","value"
"1","nm7",1,"ofv","minimum","2292.12105209072"
"2","nm7",1,"THETA1","estimate","7.69331"
"3","nm7",1,"THETA1","prse",NA
"4","nm7",1,"THETA1","se",NA
"5","nm7",1,"THETA2","estimate","17.0917"
"6","nm7",1,"THETA2","prse",NA
"7","nm7",1,"THETA2","se",NA
"8","nm7",1,"THETA3","estimate","0.0644799"
"9","nm7",1,"THETA3","prse",NA
"10","nm7",1,"THETA3","se",NA
"11","nm7",1,"THETA4","estimate","3.30549"
"12","nm7",1,"THETA4","prse",NA
"13","nm7",1,"THETA4","se",NA
"14","nm7",1,"THETA5","estimate","120.258"
"15","nm7",1,"THETA5","prse",NA
"16","nm7",1,"THETA5","se",NA
"17","nm7",1,"THETA6","estimate","1.01506"
"18","nm7",1,"THETA6","prse",NA
"19","nm7",1,"THETA6","se",NA
"20","nm7",1,"THETA7","estimate","1.43941"
"21","nm7",1,"THETA7","prse",NA
"22","nm7",1,"THETA7","se",NA
"23","nm7",1,"OMEGA1.1","estimate","0.160466"
"24","nm7",1,"OMEGA1.1","prse",NA
"25","nm7",1,"OMEGA1.1","se",NA
"26","nm7",1,"OMEGA2.1","estimate","0"
"27","nm7",1,"OMEGA2.1","prse",NA
"28","nm7",1,"OMEGA2.1","se",NA
"29","nm7",1,"OMEGA2.2","estimate","0.126012"
"30","nm7",1,"OMEGA2.2","prse",NA
"31","nm7",1,"OMEGA2.2","se",NA
"32","nm7",1,"OMEGA3.1","estimate","0"
"33","nm7",1,"OMEGA3.1","prse",NA
"34","nm7",1,"OMEGA3.1","se",NA
"35","nm7",1,"OMEGA3.2","estimate","0"
"36","nm7",1,"OMEGA3.2","prse",NA
"37","nm7",1,"OMEGA3.2","se",NA
"38","nm7",1,"OMEGA3.3","estimate","0.135142"
"39","nm7",1,"OMEGA3.3","prse",NA
"40","nm7",1,"OMEGA3.3","se",NA
"41","nm7",1,"SIGMA1.1","estimate","0.076847"
"42","nm7",1,"SIGMA1.1","prse",NA
"43","nm7",1,"SIGMA1.1","se",NA
"44","nm7",1,"cov","status","0"
"45","nm7",1,"prob","text","1 phase1 2 CMT like 1004 but diff. initial on V3"
"46","nm7",1,"min","status","0"
"47","nm7",1,"data","filename","../data/1.csv"
"48","nm7",2,"ofv","minimum","2638.23034311187"
"49","nm7",2,"THETA1","estimate","9.22566"
"50","nm7",2,"THETA1","prse",NA
"51","nm7",2,"THETA1","se",NA
"52","nm7",2,"THETA2","estimate","20.0145"
"53","nm7",2,"THETA2","prse",NA
"54","nm7",2,"THETA2","se",NA
"55","nm7",2,"THETA3","estimate","0.0615993"
"56","nm7",2,"THETA3","prse",NA
"57","nm7",2,"THETA3","se",NA
"58","nm7",2,"THETA4","estimate","2.93532"
"59","nm7",2,"THETA4","prse",NA
"60","nm7",2,"THETA4","se",NA
"61","nm7",2,"THETA5","estimate","116.989"
"62","nm7",2,"THETA5","prse",NA
"63","nm7",2,"THETA5","se",NA
"64","nm7",2,"THETA6","estimate","0.951979"
"65","nm7",2,"THETA6","prse",NA
"66","nm7",2,"THETA6","se",NA
"67","nm7",2,"THETA7","estimate","1.90972"
"68","nm7",2,"THETA7","prse",NA
"69","nm7",2,"THETA7","se",NA
"70","nm7",2,"OMEGA1.1","estimate","0.187956"
"71","nm7",2,"OMEGA1.1","prse",NA
"72","nm7",2,"OMEGA1.1","se",NA
"73","nm7",2,"OMEGA2.1","estimate","0"
"74","nm7",2,"OMEGA2.1","prse",NA
"75","nm7",2,"OMEGA2.1","se",NA
"76","nm7",2,"OMEGA2.2","estimate","0.186067"
"77","nm7",2,"OMEGA2.2","prse",NA
"78","nm7",2,"OMEGA2.2","se",NA
"79","nm7",2,"OMEGA3.1","estimate","0"
"80","nm7",2,"OMEGA3.1","prse",NA
"81","nm7",2,"OMEGA3.1","se",NA
"82","nm7",2,"OMEGA3.2","estimate","0"
"83","nm7",2,"OMEGA3.2","prse",NA
"84","nm7",2,"OMEGA3.2","se",NA
"85","nm7",2,"OMEGA3.3","estimate","0.0797417"
"86","nm7",2,"OMEGA3.3","prse",NA
"87","nm7",2,"OMEGA3.3","se",NA
"88","nm7",2,"SIGMA1.1","estimate","0.0690479"
"89","nm7",2,"SIGMA1.1","prse",NA
"90","nm7",2,"SIGMA1.1","se",NA
"91","nm7",2,"cov","status","0"
"92","nm7",2,"prob","text","2 phase1 2 CMT like 1004 but diff. initial on V3"
"93","nm7",2,"min","status","0"
"94","nm7",2,"data","filename","../data/2.csv"
"95","nm7",3,"ofv","minimum","2372.02689647748"
"96","nm7",3,"THETA1","estimate","9.07645"
"97","nm7",3,"THETA1","prse",NA
"98","nm7",3,"THETA1","se",NA
"99","nm7",3,"THETA2","estimate","23.2039"
"100","nm7",3,"THETA2","prse",NA
"101","nm7",3,"THETA2","se",NA
"102","nm7",3,"THETA3","estimate","0.0680869"
"103","nm7",3,"THETA3","prse",NA
"104","nm7",3,"THETA3","se",NA
"105","nm7",3,"THETA4","estimate","3.59005"
"106","nm7",3,"THETA4","prse",NA
"107","nm7",3,"THETA4","se",NA
"108","nm7",3,"THETA5","estimate","110.448"
"109","nm7",3,"THETA5","prse",NA
"110","nm7",3,"THETA5","se",NA
"111","nm7",3,"THETA6","estimate","0.998521"
"112","nm7",3,"THETA6","prse",NA
"113","nm7",3,"THETA6","se",NA
"114","nm7",3,"THETA7","estimate","1.74639"
"115","nm7",3,"THETA7","prse",NA
"116","nm7",3,"THETA7","se",NA
"117","nm7",3,"OMEGA1.1","estimate","0.172085"
"118","nm7",3,"OMEGA1.1","prse",NA
"119","nm7",3,"OMEGA1.1","se",NA
"120","nm7",3,"OMEGA2.1","estimate","0"
"121","nm7",3,"OMEGA2.1","prse",NA
"122","nm7",3,"OMEGA2.1","se",NA
"123","nm7",3,"OMEGA2.2","estimate","0.181995"
"124","nm7",3,"OMEGA2.2","prse",NA
"125","nm7",3,"OMEGA2.2","se",NA
"126","nm7",3,"OMEGA3.1","estimate","0"
"127","nm7",3,"OMEGA3.1","prse",NA
"128","nm7",3,"OMEGA3.1","se",NA
"129","nm7",3,"OMEGA3.2","estimate","0"
"130","nm7",3,"OMEGA3.2","prse",NA
"131","nm7",3,"OMEGA3.2","se",NA
"132","nm7",3,"OMEGA3.3","estimate","0.112969"
"133","nm7",3,"OMEGA3.3","prse",NA
"134","nm7",3,"OMEGA3.3","se",NA
"135","nm7",3,"SIGMA1.1","estimate","0.0691427"
"136","nm7",3,"SIGMA1.1","prse",NA
"137","nm7",3,"SIGMA1.1","se",NA
"138","nm7",3,"cov","status","0"
"139","nm7",3,"prob","text","3 phase1 2 CMT like 1004 but diff. initial on V3"
"140","nm7",3,"min","status","0"
"141","nm7",3,"data","filename","../data/3.csv"
"142","nm7",4,"ofv","minimum","2256.66975080727"
"143","nm7",4,"THETA1","estimate","8.89737"
"144","nm7",4,"THETA1","prse",NA
"145","nm7",4,"THETA1","se",NA
"146","nm7",4,"THETA2","estimate","22.5741"
"147","nm7",4,"THETA2","prse",NA
"148","nm7",4,"THETA2","se",NA
"149","nm7",4,"THETA3","estimate","0.0672331"
"150","nm7",4,"THETA3","prse",NA
"151","nm7",4,"THETA3","se",NA
"152","nm7",4,"THETA4","estimate","3.58587"
"153","nm7",4,"THETA4","prse",NA
"154","nm7",4,"THETA4","se",NA
"155","nm7",4,"THETA5","estimate","138.822"
"156","nm7",4,"THETA5","prse",NA
"157","nm7",4,"THETA5","se",NA
"158","nm7",4,"THETA6","estimate","0.842595"
"159","nm7",4,"THETA6","prse",NA
"160","nm7",4,"THETA6","se",NA
"161","nm7",4,"THETA7","estimate","1.63451"
"162","nm7",4,"THETA7","prse",NA
"163","nm7",4,"THETA7","se",NA
"164","nm7",4,"OMEGA1.1","estimate","0.176042"
"165","nm7",4,"OMEGA1.1","prse",NA
"166","nm7",4,"OMEGA1.1","se",NA
"167","nm7",4,"OMEGA2.1","estimate","0"
"168","nm7",4,"OMEGA2.1","prse",NA
"169","nm7",4,"OMEGA2.1","se",NA
"170","nm7",4,"OMEGA2.2","estimate","0.10285"
"171","nm7",4,"OMEGA2.2","prse",NA
"172","nm7",4,"OMEGA2.2","se",NA
"173","nm7",4,"OMEGA3.1","estimate","0"
"174","nm7",4,"OMEGA3.1","prse",NA
"175","nm7",4,"OMEGA3.1","se",NA
"176","nm7",4,"OMEGA3.2","estimate","0"
"177","nm7",4,"OMEGA3.2","prse",NA
"178","nm7",4,"OMEGA3.2","se",NA
"179","nm7",4,"OMEGA3.3","estimate","0.0699024"
"180","nm7",4,"OMEGA3.3","prse",NA
"181","nm7",4,"OMEGA3.3","se",NA
"182","nm7",4,"SIGMA1.1","estimate","0.0651276"
"183","nm7",4,"SIGMA1.1","prse",NA
"184","nm7",4,"SIGMA1.1","se",NA
"185","nm7",4,"cov","status","0"
"186","nm7",4,"prob","text","4 phase1 2 CMT like 1004 but diff. initial on V3"
"187","nm7",4,"min","status","0"
"188","nm7",4,"data","filename","../data/4.csv"
"189","nm7",5,"ofv","minimum","2195.03627141355"
"190","nm7",5,"THETA1","estimate","8.06114"
"191","nm7",5,"THETA1","prse",NA
"192","nm7",5,"THETA1","se",NA
"193","nm7",5,"THETA2","estimate","17.2053"
"194","nm7",5,"THETA2","prse",NA
"195","nm7",5,"THETA2","se",NA
"196","nm7",5,"THETA3","estimate","0.0654844"
"197","nm7",5,"THETA3","prse",NA
"198","nm7",5,"THETA3","se",NA
"199","nm7",5,"THETA4","estimate","3.57284"
"200","nm7",5,"THETA4","prse",NA
"201","nm7",5,"THETA4","se",NA
"202","nm7",5,"THETA5","estimate","82.0205"
"203","nm7",5,"THETA5","prse",NA
"204","nm7",5,"THETA5","se",NA
"205","nm7",5,"THETA6","estimate","0.971182"
"206","nm7",5,"THETA6","prse",NA
"207","nm7",5,"THETA6","se",NA
"208","nm7",5,"THETA7","estimate","1.2966"
"209","nm7",5,"THETA7","prse",NA
"210","nm7",5,"THETA7","se",NA
"211","nm7",5,"OMEGA1.1","estimate","0.117172"
"212","nm7",5,"OMEGA1.1","prse",NA
"213","nm7",5,"OMEGA1.1","se",NA
"214","nm7",5,"OMEGA2.1","estimate","0"
"215","nm7",5,"OMEGA2.1","prse",NA
"216","nm7",5,"OMEGA2.1","se",NA
"217","nm7",5,"OMEGA2.2","estimate","0.129109"
"218","nm7",5,"OMEGA2.2","prse",NA
"219","nm7",5,"OMEGA2.2","se",NA
"220","nm7",5,"OMEGA3.1","estimate","0"
"221","nm7",5,"OMEGA3.1","prse",NA
"222","nm7",5,"OMEGA3.1","se",NA
"223","nm7",5,"OMEGA3.2","estimate","0"
"224","nm7",5,"OMEGA3.2","prse",NA
"225","nm7",5,"OMEGA3.2","se",NA
"226","nm7",5,"OMEGA3.3","estimate","0.0955742"
"227","nm7",5,"OMEGA3.3","prse",NA
"228","nm7",5,"OMEGA3.3","se",NA
"229","nm7",5,"SIGMA1.1","estimate","0.070231"
"230","nm7",5,"SIGMA1.1","prse",NA
"231","nm7",5,"SIGMA1.1","se",NA
"232","nm7",5,"cov","status","0"
"233","nm7",5,"prob","text","5 phase1 2 CMT like 1004 but diff. initial on V3"
"234","nm7",5,"min","status","0"
"235","nm7",5,"data","filename","../data/5.csv"
"236","nm7",6,"ofv","minimum","2320.69111155457"
"237","nm7",6,"THETA1","estimate","8.82893"
"238","nm7",6,"THETA1","prse",NA
"239","nm7",6,"THETA1","se",NA
"240","nm7",6,"THETA2","estimate","22.8742"
"241","nm7",6,"THETA2","prse",NA
"242","nm7",6,"THETA2","se",NA
"243","nm7",6,"THETA3","estimate","0.0648789"
"244","nm7",6,"THETA3","prse",NA
"245","nm7",6,"THETA3","se",NA
"246","nm7",6,"THETA4","estimate","3.8317"
"247","nm7",6,"THETA4","prse",NA
"248","nm7",6,"THETA4","se",NA
"249","nm7",6,"THETA5","estimate","101.989"
"250","nm7",6,"THETA5","prse",NA
"251","nm7",6,"THETA5","se",NA
"252","nm7",6,"THETA6","estimate","0.984982"
"253","nm7",6,"THETA6","prse",NA
"254","nm7",6,"THETA6","se",NA
"255","nm7",6,"THETA7","estimate","1.93506"
"256","nm7",6,"THETA7","prse",NA
"257","nm7",6,"THETA7","se",NA
"258","nm7",6,"OMEGA1.1","estimate","0.160687"
"259","nm7",6,"OMEGA1.1","prse",NA
"260","nm7",6,"OMEGA1.1","se",NA
"261","nm7",6,"OMEGA2.1","estimate","0"
"262","nm7",6,"OMEGA2.1","prse",NA
"263","nm7",6,"OMEGA2.1","se",NA
"264","nm7",6,"OMEGA2.2","estimate","0.145288"
"265","nm7",6,"OMEGA2.2","prse",NA
"266","nm7",6,"OMEGA2.2","se",NA
"267","nm7",6,"OMEGA3.1","estimate","0"
"268","nm7",6,"OMEGA3.1","prse",NA
"269","nm7",6,"OMEGA3.1","se",NA
"270","nm7",6,"OMEGA3.2","estimate","0"
"271","nm7",6,"OMEGA3.2","prse",NA
"272","nm7",6,"OMEGA3.2","se",NA
"273","nm7",6,"OMEGA3.3","estimate","0.0767991"
"274","nm7",6,"OMEGA3.3","prse",NA
"275","nm7",6,"OMEGA3.3","se",NA
"276","nm7",6,"SIGMA1.1","estimate","0.0724961"
"277","nm7",6,"SIGMA1.1","prse",NA
"278","nm7",6,"SIGMA1.1","se",NA
"279","nm7",6,"cov","status","0"
"280","nm7",6,"prob","text","6 phase1 2 CMT like 1004 but diff. initial on V3"
"281","nm7",6,"min","status","0"
"282","nm7",6,"data","filename","../data/6.csv"
"283","nm7",7,"ofv","minimum","2776.96526721515"
"284","nm7",7,"THETA1","estimate","8.83864"
"285","nm7",7,"THETA1","prse",NA
"286","nm7",7,"THETA1","se",NA
"287","nm7",7,"THETA2","estimate","22.757"
"288","nm7",7,"THETA2","prse",NA
"289","nm7",7,"THETA2","se",NA
