"tool","run","parameter","moment","value"
"nm7","1","prob","text","1 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","1","min","status","0"
"nm7","1","ofv","estimate","2760.84241850239"
"nm7","1","OMEGA1.1","estimate","0.188595"
"nm7","1","OMEGA1.1","prse",NA
"nm7","1","OMEGA2.1","estimate","0"
"nm7","1","OMEGA2.1","prse",NA
"nm7","1","OMEGA2.2","estimate","0.112992"
"nm7","1","OMEGA2.2","prse",NA
"nm7","1","OMEGA3.1","estimate","0"
"nm7","1","OMEGA3.1","prse",NA
"nm7","1","OMEGA3.2","estimate","0"
"nm7","1","OMEGA3.2","prse",NA
"nm7","1","OMEGA3.3","estimate","0.0854714"
"nm7","1","OMEGA3.3","prse",NA
"nm7","1","SIGMA1.1","estimate","0.0640717"
"nm7","1","SIGMA1.1","prse",NA
"nm7","1","THETA1","estimate","7.98893"
"nm7","1","THETA1","prse",NA
"nm7","1","THETA2","estimate","19.892"
"nm7","1","THETA2","prse",NA
"nm7","1","THETA3","estimate","0.0650249"
"nm7","1","THETA3","prse",NA
"nm7","1","THETA4","estimate","3.35627"
"nm7","1","THETA4","prse",NA
"nm7","1","THETA5","estimate","123.566"
"nm7","1","THETA5","prse",NA
"nm7","1","THETA6","estimate","1.18258"
"nm7","1","THETA6","prse",NA
"nm7","1","THETA7","estimate","1.30879"
"nm7","1","THETA7","prse",NA
"nm7","2","prob","text","2 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","2","min","status","0"
"nm7","2","ofv","estimate","2198.50646580399"
"nm7","2","OMEGA1.1","estimate","0.15732"
"nm7","2","OMEGA1.1","prse",NA
"nm7","2","OMEGA2.1","estimate","0"
"nm7","2","OMEGA2.1","prse",NA
"nm7","2","OMEGA2.2","estimate","0.176537"
"nm7","2","OMEGA2.2","prse",NA
"nm7","2","OMEGA3.1","estimate","0"
"nm7","2","OMEGA3.1","prse",NA
"nm7","2","OMEGA3.2","estimate","0"
"nm7","2","OMEGA3.2","prse",NA
"nm7","2","OMEGA3.3","estimate","0.0950369"
"nm7","2","OMEGA3.3","prse",NA
"nm7","2","SIGMA1.1","estimate","0.0658486"
"nm7","2","SIGMA1.1","prse",NA
"nm7","2","THETA1","estimate","7.63673"
"nm7","2","THETA1","prse",NA
"nm7","2","THETA2","estimate","24.1761"
"nm7","2","THETA2","prse",NA
"nm7","2","THETA3","estimate","0.0705524"
"nm7","2","THETA3","prse",NA
"nm7","2","THETA4","estimate","4.14105"
"nm7","2","THETA4","prse",NA
"nm7","2","THETA5","estimate","97.4902"
"nm7","2","THETA5","prse",NA
"nm7","2","THETA6","estimate","0.956565"
"nm7","2","THETA6","prse",NA
"nm7","2","THETA7","estimate","2.36981"
"nm7","2","THETA7","prse",NA
"nm7","3","prob","text","3 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","3","min","status","0"
"nm7","3","ofv","estimate","2822.85680806125"
