tool,run,parameter,moment,value
nm7,1,prob,text,1 phase1 2 CMT like 1004 but diff. initial on V3
nm7,1,min,status,0
nm7,1,P1,estimate,7.98893
nm7,1,P2,estimate,19.892
nm7,1,P3,estimate,0.0650249
nm7,1,P4,estimate,3.35627
nm7,1,P5,estimate,123.566
nm7,1,P6,estimate,1.18258
nm7,1,P7,estimate,1.30879
nm7,1,P8,estimate,0.0640717
nm7,1,P9,estimate,0.188595
nm7,1,P10,estimate,0
nm7,1,P11,estimate,0.112992
nm7,1,P12,estimate,0
nm7,1,P13,estimate,0
nm7,1,P14,estimate,0.0854714
nm7,1,P1,prse,Inf
nm7,1,P2,prse,Inf
nm7,1,P3,prse,Inf
nm7,1,P4,prse,Inf
nm7,1,P5,prse,Inf
nm7,1,P6,prse,Inf
nm7,1,P7,prse,Inf
nm7,1,P8,prse,Inf
nm7,1,P9,prse,Inf
nm7,1,P10,prse,Inf
nm7,1,P11,prse,Inf
nm7,1,P12,prse,Inf
nm7,1,P13,prse,Inf
nm7,1,P14,prse,Inf
nm7,1,ofv,minimum,2760.84241850239
nm7,2,prob,text,2 phase1 2 CMT like 1004 but diff. initial on V3
nm7,2,min,status,0
nm7,2,P1,estimate,7.63673
nm7,2,P2,estimate,24.1761
nm7,2,P3,estimate,0.0705524
nm7,2,P4,estimate,4.14105
nm7,2,P5,estimate,97.4902
nm7,2,P6,estimate,0.956565
nm7,2,P7,estimate,2.36981
nm7,2,P8,estimate,0.0658486
nm7,2,P9,estimate,0.15732
nm7,2,P10,estimate,0
nm7,2,P11,estimate,0.176537
nm7,2,P12,estimate,0
nm7,2,P13,estimate,0
nm7,2,P14,estimate,0.0950369
nm7,2,P1,prse,Inf
nm7,2,P2,prse,Inf
nm7,2,P3,prse,Inf
nm7,2,P4,prse,Inf
nm7,2,P5,prse,Inf
nm7,2,P6,prse,Inf
nm7,2,P7,prse,Inf
nm7,2,P8,prse,Inf
nm7,2,P9,prse,Inf
nm7,2,P10,prse,Inf
nm7,2,P11,prse,Inf
nm7,2,P12,prse,Inf
nm7,2,P13,prse,Inf
nm7,2,P14,prse,Inf
nm7,2,ofv,minimum,2198.50646580399
nm7,3,prob,text,3 phase1 2 CMT like 1004 but diff. initial on V3
nm7,3,min,status,0
nm7,3,P1,estimate,9.15198
nm7,3,P2,estimate,22.8034
nm7,3,P3,estimate,0.0645346
nm7,3,P4,estimate,3.21481
nm7,3,P5,estimate,121.86
nm7,3,P6,estimate,0.937231
nm7,3,P7,estimate,1.88593
nm7,3,P8,estimate,0.0683954
nm7,3,P9,estimate,0.150349
nm7,3,P10,estimate,0
nm7,3,P11,estimate,0.12542
nm7,3,P12,estimate,0
nm7,3,P13,estimate,0
nm7,3,P14,estimate,0.0729088
nm7,3,P1,prse,Inf
nm7,3,P2,prse,Inf
nm7,3,P3,prse,Inf
nm7,3,P4,prse,Inf
nm7,3,P5,prse,Inf
